00:4e:35:de:b4:10,00:4e:35:de:b4:13,00:4e:35:de:b4:14,00:4e:35:de:c4:50,00:4e:35:de:c4:51,00:4e:35:de:c4:52,00:4e:35:df:0e:90,00:4e:35:df:0e:91,00:4e:35:df:0e:92,38:17:c3:25:f4:20,38:17:c3:25:f4:23,38:17:c3:25:f4:24,38:17:c3:25:f4:30,38:17:c3:25:f4:33,38:17:c3:25:f4:34,38:17:c3:26:11:e0,38:17:c3:26:11:e1,38:17:c3:26:11:e2,38:17:c3:26:11:f0,38:17:c3:26:11:f1,38:17:c3:26:11:f2,38:17:c3:26:20:80,38:17:c3:26:20:83,38:17:c3:26:20:84,38:17:c3:26:20:90,38:17:c3:26:20:93,38:17:c3:26:20:94,38:17:c3:26:38:e0,38:17:c3:26:38:e1,38:17:c3:26:38:e2,38:17:c3:26:38:f0,38:17:c3:26:38:f1,38:17:c3:26:38:f2,38:17:c3:26:49:e0,38:17:c3:26:49:e1,38:17:c3:26:49:e2,38:17:c3:26:49:f0,38:17:c3:26:49:f1,38:17:c3:26:49:f2,38:17:c3:2a:d9:00,38:17:c3:2a:d9:03,38:17:c3:2a:d9:04,38:17:c3:2a:d9:10,38:17:c3:2a:d9:13,38:17:c3:2a:d9:14,38:17:c3:2b:5c:c0,38:17:c3:2b:5c:c1,38:17:c3:2b:5c:c2,38:17:c3:2b:5c:d0,38:17:c3:2b:5c:d1,38:17:c3:2b:5c:d2,b0:b8:67:3a:47:00,b0:b8:67:3a:47:03,b0:b8:67:3a:47:04,b0:b8:67:3a:47:10,b0:b8:67:3a:47:13,b0:b8:67:3a:47:14,b4:5d:50:e1:95:e0,b4:5d:50:e1:95:e1,b4:5d:50:e1:95:e2,b4:5d:50:e1:95:f0,b4:5d:50:e1:95:f1,b4:5d:50:e1:95:f2,b6:2b:4b:a2:a6:ed,d0:d3:e0:9d:07:d0,d0:d3:e0:9d:07:d1,d0:d3:e0:9d:07:d4,d0:d3:e0:ae:a5:50,d0:d3:e0:ae:a5:51,d0:d3:e0:ae:a5:52,d0:d3:e0:b1:c0:f0,d0:d3:e0:b1:c0:f3,d0:d3:e0:b1:c0:f4,ea:9e:b4:23:c3:f9,f0:61:c0:df:a4:c3,fa:8f:ca:32:c4:35,RP
-100.0,-100.0,-100.0,-82.0,-80.0,-80.0,-70.0,-72.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-80.0,-75.0,-75.0,-76.0,-100.0,-100.0,-100.0,-88.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-61.0,-60.0,-60.0,-100.0,-100.0,-100.0,-100.0,-86.0,-79.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP50
-100.0,-100.0,-100.0,-82.0,-83.0,-79.0,-70.0,-72.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-91.0,-80.0,-77.0,-75.0,-76.0,-100.0,-100.0,-100.0,-88.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-57.0,-57.0,-57.0,-100.0,-100.0,-100.0,-100.0,-86.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP50
-100.0,-100.0,-100.0,-82.0,-83.0,-79.0,-70.0,-73.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-91.0,-89.0,-77.0,-75.0,-79.0,-100.0,-100.0,-100.0,-88.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-60.0,-60.0,-59.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP50
-100.0,-100.0,-100.0,-80.0,-80.0,-83.0,-72.0,-73.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-91.0,-89.0,-74.0,-72.0,-75.0,-100.0,-100.0,-100.0,-88.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-60.0,-60.0,-59.0,-100.0,-100.0,-100.0,-100.0,-86.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP50
-100.0,-100.0,-100.0,-87.0,-82.0,-83.0,-72.0,-69.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-91.0,-89.0,-74.0,-72.0,-75.0,-100.0,-100.0,-100.0,-88.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-86.0,-85.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP51
-100.0,-100.0,-100.0,-84.0,-83.0,-79.0,-68.0,-69.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-83.0,-88.0,-72.0,-72.0,-75.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-86.0,-85.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP51
-100.0,-100.0,-100.0,-84.0,-83.0,-82.0,-68.0,-69.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0,-83.0,-72.0,-67.0,-75.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-89.0,-81.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP51
-100.0,-100.0,-100.0,-84.0,-91.0,-82.0,-68.0,-74.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-87.0,-83.0,-72.0,-65.0,-75.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-59.0,-60.0,-58.0,-100.0,-100.0,-100.0,-100.0,-89.0,-80.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP51
-100.0,-100.0,-100.0,-82.0,-91.0,-82.0,-75.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-83.0,-68.0,-65.0,-75.0,-100.0,-100.0,-100.0,-100.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-59.0,-60.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-80.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP51
-100.0,-100.0,-100.0,-82.0,-83.0,-82.0,-75.0,-74.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-79.0,-83.0,-65.0,-65.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-58.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-80.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP52
-100.0,-100.0,-100.0,-85.0,-87.0,-82.0,-75.0,-74.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-79.0,-87.0,-65.0,-62.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0,-58.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-78.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP52
-100.0,-100.0,-100.0,-85.0,-84.0,-80.0,-75.0,-71.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-84.0,-87.0,-65.0,-62.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-60.0,-61.0,-61.0,-100.0,-100.0,-100.0,-100.0,-87.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP52
-100.0,-100.0,-100.0,-82.0,-83.0,-85.0,-71.0,-75.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-84.0,-86.0,-63.0,-65.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-63.0,-62.0,-62.0,-100.0,-100.0,-100.0,-100.0,-87.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP52
-100.0,-100.0,-100.0,-82.0,-83.0,-85.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-86.0,-63.0,-68.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP52
-100.0,-100.0,-100.0,-82.0,-83.0,-83.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-86.0,-86.0,-65.0,-68.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-59.0,-57.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-82.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP53
-100.0,-100.0,-100.0,-84.0,-83.0,-83.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-82.0,-84.0,-69.0,-66.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP53
-100.0,-100.0,-100.0,-83.0,-84.0,-83.0,-75.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-82.0,-84.0,-69.0,-66.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-59.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-87.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP53
-100.0,-100.0,-100.0,-83.0,-84.0,-83.0,-75.0,-75.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0,-84.0,-67.0,-65.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-60.0,-60.0,-60.0,-100.0,-100.0,-100.0,-100.0,-87.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP53
-100.0,-100.0,-100.0,-87.0,-80.0,-84.0,-75.0,-75.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0,-82.0,-67.0,-65.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-63.0,-62.0,-62.0,-100.0,-100.0,-100.0,-100.0,-87.0,-79.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP53
-100.0,-100.0,-100.0,-84.0,-80.0,-84.0,-75.0,-79.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-85.0,-83.0,-67.0,-66.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-61.0,-61.0,-61.0,-100.0,-100.0,-100.0,-100.0,-87.0,-74.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP54
-100.0,-100.0,-100.0,-84.0,-80.0,-80.0,-78.0,-75.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-85.0,-81.0,-67.0,-62.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-59.0,-59.0,-59.0,-100.0,-100.0,-100.0,-100.0,-84.0,-73.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP54
-100.0,-100.0,-100.0,-84.0,-83.0,-80.0,-76.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-84.0,-81.0,-68.0,-62.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-59.0,-59.0,-100.0,-100.0,-100.0,-100.0,-84.0,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP54
-100.0,-100.0,-100.0,-82.0,-83.0,-80.0,-76.0,-75.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-84.0,-83.0,-64.0,-62.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-86.0,-78.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP54
-100.0,-100.0,-100.0,-82.0,-83.0,-83.0,-74.0,-75.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-83.0,-64.0,-62.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-58.0,-58.0,-58.0,-100.0,-100.0,-100.0,-100.0,-82.0,-72.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP54
-100.0,-100.0,-100.0,-82.0,-85.0,-83.0,-74.0,-80.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-83.0,-63.0,-64.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-82.0,-75.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP55
-100.0,-100.0,-100.0,-82.0,-84.0,-83.0,-81.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-82.0,-63.0,-64.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-84.0,-78.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP55
-100.0,-100.0,-100.0,-82.0,-84.0,-85.0,-81.0,-77.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-82.0,-64.0,-63.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-62.0,-62.0,-100.0,-100.0,-100.0,-100.0,-85.0,-78.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP55
-100.0,-100.0,-100.0,-82.0,-84.0,-84.0,-77.0,-80.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-81.0,-82.0,-64.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-61.0,-61.0,-100.0,-100.0,-100.0,-100.0,-85.0,-76.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP55
-100.0,-100.0,-100.0,-82.0,-82.0,-84.0,-79.0,-80.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-65.0,-64.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-61.0,-61.0,-100.0,-100.0,-100.0,-100.0,-85.0,-76.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP55
-100.0,-100.0,-100.0,-82.0,-82.0,-84.0,-79.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-82.0,-65.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-64.0,-65.0,-100.0,-100.0,-100.0,-100.0,-85.0,-77.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP56
-100.0,-100.0,-100.0,-83.0,-82.0,-82.0,-77.0,-76.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-82.0,-77.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-65.0,-65.0,-100.0,-100.0,-100.0,-100.0,-88.0,-81.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP56
-100.0,-100.0,-100.0,-83.0,-83.0,-82.0,-77.0,-76.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-77.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-65.0,-65.0,-100.0,-100.0,-100.0,-100.0,-88.0,-79.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP56
-100.0,-100.0,-100.0,-79.0,-83.0,-82.0,-77.0,-80.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-83.0,-77.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-66.0,-66.0,-100.0,-100.0,-100.0,-100.0,-85.0,-79.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,RP56
